column,dtype,n_missing,pct_missing,n_unique,sample
visitid,int64,0,0.0,216539,"[1, 2, 3, 4]"
serialnumber,object,0,0.0,17340,"['TNO/04/13/006', 'SAM/04/13/001', 'SAM/04/13/037', 'SAM/04/13/008']"
uniqueid,int64,0,0.0,3838,"[503, 224, 131, 230]"
organization,object,0,0.0,2,"['MSK', 'FHOK']"
county,object,0,0.0,2,"['Busia', 'Siaya']"
division,object,0,0.0,23,"['SAMIA', 'ANGURAI', 'BUTULA', 'AMUKURA']"
year,int64,0,0.0,3,"[2013, 2014, 2015]"
month,object,0,0.0,12,"['April', 'August', 'December', 'July']"
delivery,object,0,0.0,3,"['Household', 'Outreach', 'Facility']"
delivery_channel,object,0,0.0,2,"['Mobile Services', 'Facility Based']"
facilityname,object,182492,84.3,288,"['Budalangi dispensary', 'MAWERE DISPENSARY', 'Naya  Health Centre', 'Boro']"
gender,object,0,0.0,2,"['Male', 'Female']"
age,int64,0,0.0,51,"[27, 60, 21, 26]"
client_age,object,0,0.0,3,"['25-39', '40+', '<25']"
educationlevel,object,4408,2.0,4,"['Secondary & Above', 'Primary Complete', 'Primary Incomplete', 'Missing']"
noofchildren,int64,0,0.0,57,"[0, 3, 24, 39]"
no_children,object,0,0.0,4,"['No children', '3-4 Children', '5+ Children', '1-2 Children']"
fertilityintention,object,0,0.0,4,"['Later than 2 years', 'No more Children', 'Missing', 'Within 2 Years']"
fpstatus,object,0,0.0,3,"['Revisit', 'New', 'Missing']"
projectstatus,object,0,0.0,3,"['Revisit', 'New', 'Missing']"
projectfpstatus,object,0,0.0,4,"['Existing FP user and project beneficiary', 'New FP user and project beneficiary', 'Existing FP user and new project beneficiary', 'Missing']"
previousmethod,object,93887,43.4,6,"['Condom', 'Pills', 'Injectables', 'Implants']"
prev_fp,object,94442,43.6,3,"['Short-Acting', 'Injectables', 'LARCs']"
counseled,object,0,0.0,4,"['Yes', 'No', 'Missing', 'Refreshers']"
new_counselled,object,0,0.0,2,"['Yes', 'No']"
methodadopted,object,0,0.0,12,"['Condoms', 'Pills', 'Injectables', 'Implants']"
fp_adopted,object,1906,0.9,3,"['Short-Acting', 'Injectables', 'LAPMs']"
referred,object,155016,71.6,10,"['Injectables', 'BTL', 'Implants', 'Other RH services']"
fp_referred,object,158593,73.2,3,"['Injectables', 'LAPMs', 'Short-Acting']"
pillquantity,float64,165184,76.3,29,"[3.0, 1.0, 2.0, 0.0]"
condomquantity,float64,126066,58.2,151,"[30.0, 10.0, 60.0, 40.0]"
lapm,object,0,0.0,2,"['Other', 'LAPM']"
client_age2,object,5099,2.4,3,"['25-39', '15-24', '40-49']"
