feature,type,n_unique,dtype,min,max,mean,std,pct_zero,corr_with_target
current_method_category_enc,categorical_encoded,4,int32,1.0,4.0,3.285,1.082,0.0,-0.5862
switch_type_enc,categorical_encoded,6,int32,1.0,6.0,4.194,0.938,0.0,0.4163
previous_method_category_enc,categorical_encoded,3,int32,1.0,3.0,1.985,0.443,0.0,0.2929
adopted_larc,binary_flag,2,int32,0.0,1.0,0.2,0.4,0.8,0.2704
wants_no_more,binary_flag,2,int32,0.0,1.0,0.125,0.331,0.875,0.1266
fertility_ordinal,numeric_continuous,3,int64,1.0,3.0,1.888,0.592,0.0,0.1265
noofchildren,numeric_continuous,16,int64,0.0,15.0,3.059,2.146,0.126,0.1046
age,numeric_continuous,51,int64,10.0,60.0,28.985,7.822,0.0,0.0937
has_high_parity,binary_flag,2,int32,0.0,1.0,0.239,0.427,0.761,0.0923
year,numeric_continuous,3,int64,2013.0,2015.0,2014.059,0.698,0.0,0.0913
wants_child_soon,binary_flag,2,int32,0.0,1.0,0.237,0.425,0.763,-0.0812
is_older_woman,binary_flag,2,int32,0.0,1.0,0.113,0.316,0.887,0.0751
counseled_binary,binary_flag,2,int32,0.0,1.0,0.972,0.165,0.028,0.0603
county_enc,categorical_encoded,2,int32,0.0,1.0,0.476,0.499,0.524,-0.0529
was_on_larc,binary_flag,2,int32,0.0,1.0,0.106,0.308,0.894,-0.0451
fertility_intention_known,binary_flag,2,int32,0.0,1.0,0.947,0.225,0.053,0.0283
is_young_woman,binary_flag,2,int32,0.0,1.0,0.094,0.291,0.906,-0.0224
month_num,numeric_continuous,12,int64,1.0,12.0,6.164,3.38,0.0,-0.0158
education_known,binary_flag,2,int32,0.0,1.0,0.971,0.168,0.029,-0.0086
education_ordinal,numeric_continuous,3,int64,1.0,3.0,1.994,0.689,0.0,-0.0072
delivery_type_enc,categorical_encoded,2,int32,1.0,2.0,1.009,0.096,0.0,-0.0064
